date,equipo_local_norm,equipo_visitante_norm,goles_local_num,goles_visitante_num,ranking_local,ranking_visitante,local_lastN_matches,local_lastN_wins,local_lastN_winrate,local_lastN_goals_for,local_lastN_goals_against,local_lastN_remates_total,local_lastN_remates_puerta,local_lastN_possession_avg,visitante_lastN_matches,visitante_lastN_wins,visitante_lastN_winrate,visitante_lastN_goals_for,visitante_lastN_goals_against,visitante_lastN_remates_total,visitante_lastN_remates_puerta,visitante_lastN_possession_avg,total_goles_partido,diferencia_goles_partido,resultado_texto,peso
2025-09-20,almagro,ferro carril oeste,0,1,0.19999999999999996,0.48571428571428577,6,0,0.0,4,7,66,34,51.833,6,1,0.167,4,7,42,23,51.667,1,-1,gana_visitante,2
2025-09-20,atlanta,tristan suarez,1,0,0.17142857142857137,0.6857142857142857,6,2,0.333,4,6,54,26,48.333,6,1,0.167,6,5,33,14,46.667,1,1,gana_local,2
2025-09-15,agropecuario,gimnasia mendoza,2,0,0.4571428571428572,0.7428571428571429,6,4,0.667,9,3,69,42,49.0,6,3,0.5,6,4,58,27,53.0,2,2,gana_local,2
2025-09-14,san martin tuc,atlanta,4,0,0.02857142857142858,0.6857142857142857,6,1,0.167,3,9,57,32,54.833,6,2,0.333,5,4,55,32,50.0,4,4,gana_local,2
2025-09-14,estudiantes rio cuarto,ca mitre,1,0,0.0,0.48571428571428577,6,5,0.833,8,3,48,32,48.667,6,1,0.167,8,8,66,42,47.333,1,1,gana_local,2
2025-09-14,deportivo madryn,alvarado,1,0,0.8,0.8571428571428572,6,4,0.667,12,6,65,42,53.0,6,0,0.0,1,4,42,11,46.667,1,1,gana_local,2
2025-09-14,club a guemes,racing cordoba,1,0,0.8,0.5428571428571429,6,1,0.167,5,9,72,30,52.0,6,2,0.333,6,6,78,45,50.5,1,1,gana_local,2
2025-09-14,deportivo maipu,all boys,0,0,0.6571428571428571,0.3142857142857143,6,2,0.333,5,5,63,32,50.667,6,2,0.333,4,4,42,21,47.167,0,0,empate,2
2025-09-14,patronato,quilmes,1,0,0.3142857142857143,0.22857142857142854,6,2,0.333,2,2,48,23,53.0,6,1,0.167,4,5,38,26,51.0,1,1,gana_local,2
2025-09-14,chacarita,alte brown,0,1,0.2857142857142857,0.02857142857142858,6,0,0.0,3,6,42,16,49.167,6,2,0.333,6,6,36,20,49.0,1,-1,gana_visitante,2
